processed_tweets,class,neutralized_tweets
a girlfriend is almost a bill lowkey so at this point in my life where i should be gettin outta my moms crib i ll rather just have hoes,1, a relationship can be expensive so at this point in my life i d rather stay single
rt bitch nigga,1,removed offensive content cannot be meaningfully retained
rt fuck ur wcw let me see wat ur current bitch look like oowe,1,forget your woman crush show me who you re currently dating
this niggah is a fool,1,this guy is being really silly
i cheated on of the bitches i had tf lol nobody even wanted to be all committed and shit,1,i cheated on someone I was seeing nobody was really looking for commitment anyway
rt all babies are born hipsters because they come out of the hospital in beanies,1,all babies are like hipsters they come out of the hospital wearing beanies
rt small ass pants bitch,1,your pants are way too small
rt what s good bitch,1,what s good friend
nobody cares you fucking fag damn you bring bitches water even though youre thirsty as fuck fucknigga,1,nobody cares you help others even when you re in need yourself
there was a reason why i blocked this bitch,1,there was a reason why i blocked this person
rt next person i see tweeting that bitch shitting on herself im unfollowing you,1,rt next person i see tweeting that person shitting on herself im unfollowing you
bitch i work hours a day to protect your freedom fuck you alwaysonwatch globalforceforgood,1,i work long hours every day to serve and protect and I deserve some respect
oh hell no fuck you uncle tom bitch i remember yo punk broke ass,1,oh hell no messing around you disrespectful person person i remember yo rude person broke person
i m the crazy bitch that will call you times in one hour,1,i m the crazy person that will call you times in one hour
idk why bitches think they players lol bitches have zero game,1,idk why person think they players lol person have zero game
man bitches love beyonce no punch line,1,man person love beyonce no punch line
it s and y all niggas still fuckin with these hoes go get you a wife bruh wifingsquad,1,it s and y all person still fuckin with these people go get you a wife bruh wifingsquad
rt i seen what you look like not impressed dont talk shit you dirt looking bitch,1,rt i seen what you look like not impressed dont talk stuff you dirt looking person
happy birthday bitch,1,happy birthday person
mom just called me a rude ass hoe rude,1,mom just called me a rude person people rude
i know bitches let s do something this weekend let s bake,1,i know person let s do something this weekend let s bake
i never seen a asian or chinese bitch pregnant shit i throught they kids just spawn like call of duty,1,i never seen a asian or chinese person pregnant stuff i throught they kids just spawn like call of duty
smh rt tyga shoulda knew blacc chyna was a hoe when his son crip walked out her pussy,0,smh rt tyga shoulda knew blacc chyna was a people when his son crip walked out her pussy
says the old man i hope you can survive another years you silly jigga boo monkey,0,says the old man i hope you can survive another years you silly jigga boo monkey
my bad bitch im logged in on everybody shit,1,my bad person im logged in on everybody stuff
what s the difference between the three of the nig nog s,1,what s the difference between the three of the people
this fucking little bitch landed on me in the car and really thought i wouldn t kill him,1,this messing around little person landed on me in the car and really thought i wouldn t kill him
raspy ass voice annoying bitch,1,raspy person voice annoying person
lmao brutal for the nigs who can t get jobs lol,1,lmao brutal for the nigs who can t get jobs lol
the ugliest bitches swear they bad but,1,the ugliest person swear they bad but
i got my own legacy bitches fuck yall legacy,1,i got my own legacy person messing around yall legacy
duh lol me tweeting about eating pussy from the back with my tongue in that made that obvious lol,1,duh lol me tweeting about eating pussy from the back with my tongue in that made that obvious lol
i am that queer gnarles charles and no it wasn t me,1,i am that queer gnarles charles and no it wasn t me
she was a dirty bitch always beggin for microwaves and catchup and shit so mufuckas always be like bye falicia,1,she was a dirty person always beggin for microwaves and catchup and stuff so mufuckas always be like bye falicia
so niggas wanna be bitches and shit wearing flowers and shit smh y all niggas gay,1,so person wanna be person and stuff wearing flowers and stuff smh y all person gay
rt give me three wishes i wish i wish i wish you would bitch,1,rt give me three wishes i wish i wish i wish you would person
thinking about getting my nips pierced,1,thinking about getting my nips pierced
no hoe shit or roxy shit but dawggg i swear i ain t knw kia no how to fight,1,no people stuff or roxy stuff but dawggg i swear i ain t knw kia no how to fight
i guess none of deez rappin ass niggas wanna throw dem bitches wit da big homie,1,i guess none of deez rappin person person wanna throw dem person wit da big homie
rt the only thing more irritating than donald sterling being a cunt is adam silver continually apologizing for him,1,rt the only thing more irritating than donald sterling being a cunt is adam silver continually apologizing for him
rt the last bitch i fucked was a mixed breed,1,rt the last person i messing around was a mixed breed
aids fuck smdh u punk bitch,1,aids messing around smdh u rude person person
but bitches be mad than a mf when they don t know what i m doing amp how i getting it,1,but person be mad than a mf when they don t know what i m doing amp how i getting it
rt dude does his girlfriend s mom trashes her wedding mopes to folk rock explainafilmplotbadly,1,rt dude does his girlfriend s mom trashes her wedding mopes to folk rock explainafilmplotbadly
u calling me a pussy but u not bout shit fuck all this talking let s pop shit off then,1,u calling me a pussy but u not bout stuff messing around all this talking let s pop stuff off then
no face no trace pussy boys snatch,1,no face no trace pussy boys snatch
rt lmfaoo never i be dolo i dont got no niggas amp for my old hoes fuck all them,0,rt lmfaoo never i be dolo i dont got no person amp for my old people messing around all them
y all whitey gots to pay fo da preparations,0,y all whitey gots to pay fo da preparations
pillow talkin to your hoe hatin on a nigga you might lose ya chick like that,1,pillow talkin to your people hatin on a person you might lose ya chick like that
rt i dont have time for these childish games just fight me bitch,1,rt i dont have time for these childish games just fight me person
lebron warm up jacket full then a bitch,1,lebron warm up jacket full then a person
rt stop following bad bitches and ya won t get spammed,1,rt stop following bad person and ya won t get spammed
rt so tony i think yr a rude little cunt and too too young to even know what real rock and rol,0,rt so tony i think yr a rude little cunt and too too young to even know what real rock and rol
all he needs is a skirt sure looks like a bitch to me,1,all he needs is a skirt sure looks like a person to me
we got a win my nicca lmao,1,we got a win my nicca lmao
i like how thinks i m talking to hoes hell nah lol my bad i forgot you ain t got hoes like vdawg do,1,i like how thinks i m talking to people hell nah lol my bad i forgot you ain t got people like vdawg do
rt if your friend is a hoe u a hoe too birds of a feather flock together,1,rt if your friend is a people u a people too birds of a feather flock together
rt isn t ebola a type of soup naw nigga its a country my bitch is from there she ebolian,1,rt isn t ebola a type of soup naw person its a country my person is from there she ebolian
i gt android dmt kno whats in that box my nig,1,i gt android dmt kno whats in that box my nig
all y all bitches corny lol,1,all y all person corny lol
rt when bitches talk about their bf,1,rt when person talk about their bf
